produto;regiao;ano;semana;preco
Tommy - produtor;Vale do Sao Francisco;2012;1;0.74
Tommy - produtor;Vale do Sao Francisco;2012;2;0.89
Tommy - produtor;Vale do Sao Francisco;2012;3;0.81
Tommy - produtor;Vale do Sao Francisco;2012;4;0.73
Tommy - produtor;Vale do Sao Francisco;2012;5;0.65
Tommy - produtor;Vale do Sao Francisco;2012;6;0.72
Tommy - produtor;Vale do Sao Francisco;2012;7;0.81
Tommy - produtor;Vale do Sao Francisco;2012;8;0.92
Tommy - produtor;Vale do Sao Francisco;2012;9;1.1
Tommy - produtor;Vale do Sao Francisco;2012;10;1.21
Tommy - produtor;Vale do Sao Francisco;2012;11;1.22
Tommy - produtor;Vale do Sao Francisco;2012;12;1.22
Tommy - produtor;Vale do Sao Francisco;2012;13;1.24
Tommy - produtor;Vale do Sao Francisco;2012;14;1.21
Tommy - produtor;Vale do Sao Francisco;2012;15;1
Tommy - produtor;Vale do Sao Francisco;2012;16;0.75
Tommy - produtor;Vale do Sao Francisco;2012;17;0.71
Tommy - produtor;Vale do Sao Francisco;2012;18;0.58
Tommy - produtor;Vale do Sao Francisco;2012;19;0.91
Tommy - produtor;Vale do Sao Francisco;2012;20;0.9
Tommy - produtor;Vale do Sao Francisco;2012;21;0.8
Tommy - produtor;Vale do Sao Francisco;2012;22;0.75
Tommy - produtor;Vale do Sao Francisco;2012;23;0.82
Tommy - produtor;Vale do Sao Francisco;2012;24;0.9
Tommy - produtor;Vale do Sao Francisco;2012;25;0.93
Tommy - produtor;Vale do Sao Francisco;2012;26;0.91
Tommy - produtor;Vale do Sao Francisco;2012;27;0.89
Tommy - produtor;Vale do Sao Francisco;2012;28;0.86
Tommy - produtor;Vale do Sao Francisco;2012;29;0.84
Tommy - produtor;Vale do Sao Francisco;2012;30;0.6
Tommy - produtor;Vale do Sao Francisco;2012;31;0.54
Tommy - produtor;Vale do Sao Francisco;2012;32;0.51
Tommy - produtor;Vale do Sao Francisco;2012;33;0.57
Tommy - produtor;Vale do Sao Francisco;2012;34;0.64
Tommy - produtor;Vale do Sao Francisco;2012;35;0.83
Tommy - produtor;Vale do Sao Francisco;2012;36;0.92
Tommy - produtor;Vale do Sao Francisco;2012;37;0.87
Tommy - produtor;Vale do Sao Francisco;2012;38;0.72
Tommy - produtor;Vale do Sao Francisco;2012;39;0.69
Tommy - produtor;Vale do Sao Francisco;2012;40;0.63
Tommy - produtor;Vale do Sao Francisco;2012;41;0.53
Tommy - produtor;Vale do Sao Francisco;2012;42;0.59
Tommy - produtor;Vale do Sao Francisco;2012;43;0.65
Tommy - produtor;Vale do Sao Francisco;2012;44;0.79
Tommy - produtor;Vale do Sao Francisco;2012;45;0.81
Tommy - produtor;Vale do Sao Francisco;2012;46;0.75
Tommy - produtor;Vale do Sao Francisco;2012;47;0.49
Tommy - produtor;Vale do Sao Francisco;2012;48;0.45
Tommy - produtor;Vale do Sao Francisco;2012;49;0.43
Tommy - produtor;Vale do Sao Francisco;2012;50;0.37
Tommy - produtor;Vale do Sao Francisco;2012;51;0.37
Tommy - produtor;Vale do Sao Francisco;2012;52;0.39
Tommy - produtor;Vale do Sao Francisco;2013;1;0.39
Tommy - produtor;Vale do Sao Francisco;2013;2;0.35
Tommy - produtor;Vale do Sao Francisco;2013;3;0.34
Tommy - produtor;Vale do Sao Francisco;2013;4;0.32
Tommy - produtor;Vale do Sao Francisco;2013;5;0.34
Tommy - produtor;Vale do Sao Francisco;2013;6;0.41
Tommy - produtor;Vale do Sao Francisco;2013;7;0.86
Tommy - produtor;Vale do Sao Francisco;2013;8;1.09
Tommy - produtor;Vale do Sao Francisco;2013;9;1.29
Tommy - produtor;Vale do Sao Francisco;2013;10;1.38
Tommy - produtor;Vale do Sao Francisco;2013;11;1.3
Tommy - produtor;Vale do Sao Francisco;2013;12;1.21
Tommy - produtor;Vale do Sao Francisco;2013;13;1.28
Tommy - produtor;Vale do Sao Francisco;2013;14;1.44
Tommy - produtor;Vale do Sao Francisco;2013;15;1.55
Tommy - produtor;Vale do Sao Francisco;2013;16;1.68
Tommy - produtor;Vale do Sao Francisco;2013;17;1.72
Tommy - produtor;Vale do Sao Francisco;2013;18;1.67
Tommy - produtor;Vale do Sao Francisco;2013;19;1.67
Tommy - produtor;Vale do Sao Francisco;2013;20;1.85
Tommy - produtor;Vale do Sao Francisco;2013;21;2.03
Tommy - produtor;Vale do Sao Francisco;2013;22;2.33
Tommy - produtor;Vale do Sao Francisco;2013;23;2.34
Tommy - produtor;Vale do Sao Francisco;2013;24;2.23
Tommy - produtor;Vale do Sao Francisco;2013;25;1.57
Tommy - produtor;Vale do Sao Francisco;2013;26;1.21
Tommy - produtor;Vale do Sao Francisco;2013;27;1.06
Tommy - produtor;Vale do Sao Francisco;2013;28;0.99
Tommy - produtor;Vale do Sao Francisco;2013;29;0.97
Tommy - produtor;Vale do Sao Francisco;2013;30;0.95
Tommy - produtor;Vale do Sao Francisco;2013;31;1.03
Tommy - produtor;Vale do Sao Francisco;2013;32;1.3
Tommy - produtor;Vale do Sao Francisco;2013;33;1.53
Tommy - produtor;Vale do Sao Francisco;2013;34;1.56
Tommy - produtor;Vale do Sao Francisco;2013;35;1.19
Tommy - produtor;Vale do Sao Francisco;2013;36;1.03
Tommy - produtor;Vale do Sao Francisco;2013;37;0.72
Tommy - produtor;Vale do Sao Francisco;2013;38;0.59
Tommy - produtor;Vale do Sao Francisco;2013;39;0.43
Tommy - produtor;Vale do Sao Francisco;2013;40;0.35
Tommy - produtor;Vale do Sao Francisco;2013;41;0.33
Tommy - produtor;Vale do Sao Francisco;2013;42;0.46
Tommy - produtor;Vale do Sao Francisco;2013;43;0.36
Tommy - produtor;Vale do Sao Francisco;2013;44;0.56
Tommy - produtor;Vale do Sao Francisco;2013;45;0.63
Tommy - produtor;Vale do Sao Francisco;2013;46;0.68
Tommy - produtor;Vale do Sao Francisco;2013;47;0.84
Tommy - produtor;Vale do Sao Francisco;2013;48;0.87
Tommy - produtor;Vale do Sao Francisco;2013;49;0.86
Tommy - produtor;Vale do Sao Francisco;2013;50;0.85
Tommy - produtor;Vale do Sao Francisco;2013;51;0.88
Tommy - produtor;Vale do Sao Francisco;2013;52;0.9
Tommy - produtor;Vale do Sao Francisco;2014;1;1.06
Tommy - produtor;Vale do Sao Francisco;2014;2;1.21
Tommy - produtor;Vale do Sao Francisco;2014;3;1.3
Tommy - produtor;Vale do Sao Francisco;2014;4;1.04
Tommy - produtor;Vale do Sao Francisco;2014;5;1.27
Tommy - produtor;Vale do Sao Francisco;2014;6;1.37
Tommy - produtor;Vale do Sao Francisco;2014;7;1.47
Tommy - produtor;Vale do Sao Francisco;2014;8;1.33
Tommy - produtor;Vale do Sao Francisco;2014;9;1.1
Tommy - produtor;Vale do Sao Francisco;2014;10;1.17
Tommy - produtor;Vale do Sao Francisco;2014;11;1.19
Tommy - produtor;Vale do Sao Francisco;2014;12;1.11
Tommy - produtor;Vale do Sao Francisco;2014;13;1.03
Tommy - produtor;Vale do Sao Francisco;2014;14;1.09
Tommy - produtor;Vale do Sao Francisco;2014;15;1.14
Tommy - produtor;Vale do Sao Francisco;2014;16;1.14
Tommy - produtor;Vale do Sao Francisco;2014;17;1.31
Tommy - produtor;Vale do Sao Francisco;2014;18;1.1
Tommy - produtor;Vale do Sao Francisco;2014;19;1.03
Tommy - produtor;Vale do Sao Francisco;2014;20;0.93
Tommy - produtor;Vale do Sao Francisco;2014;21;0.74
Tommy - produtor;Vale do Sao Francisco;2014;22;0.63
Tommy - produtor;Vale do Sao Francisco;2014;23;0.61
Tommy - produtor;Vale do Sao Francisco;2014;24;0.73
Tommy - produtor;Vale do Sao Francisco;2014;25;0.73
Tommy - produtor;Vale do Sao Francisco;2014;26;0.63
Tommy - produtor;Vale do Sao Francisco;2014;27;0.78
Tommy - produtor;Vale do Sao Francisco;2014;28;1
Tommy - produtor;Vale do Sao Francisco;2014;29;1.08
Tommy - produtor;Vale do Sao Francisco;2014;30;1.01
Tommy - produtor;Vale do Sao Francisco;2014;31;0.96
Tommy - produtor;Vale do Sao Francisco;2014;32;1.13
Tommy - produtor;Vale do Sao Francisco;2014;33;1.37
Tommy - produtor;Vale do Sao Francisco;2014;34;1.92
Tommy - produtor;Vale do Sao Francisco;2014;35;1.37
Tommy - produtor;Vale do Sao Francisco;2014;36;1.68
Tommy - produtor;Vale do Sao Francisco;2014;37;1.48
Tommy - produtor;Vale do Sao Francisco;2014;38;0.78
Tommy - produtor;Vale do Sao Francisco;2014;39;0.58
Tommy - produtor;Vale do Sao Francisco;2014;40;0.44
Tommy - produtor;Vale do Sao Francisco;2014;41;0.38
Tommy - produtor;Vale do Sao Francisco;2014;42;0.39
Tommy - produtor;Vale do Sao Francisco;2014;43;0.4
Tommy - produtor;Vale do Sao Francisco;2014;44;0.53
Tommy - produtor;Vale do Sao Francisco;2014;45;0.68
Tommy - produtor;Vale do Sao Francisco;2014;46;0.52
Tommy - produtor;Vale do Sao Francisco;2014;47;0.52
Tommy - produtor;Vale do Sao Francisco;2014;48;0.48
Tommy - produtor;Vale do Sao Francisco;2014;49;0.48
Tommy - produtor;Vale do Sao Francisco;2014;50;0.48
Tommy - produtor;Vale do Sao Francisco;2014;51;0.6
Tommy - produtor;Vale do Sao Francisco;2014;52;0.65
Tommy - produtor;Vale do Sao Francisco;2015;1;0.65
Tommy - produtor;Vale do Sao Francisco;2015;2;0.73
Tommy - produtor;Vale do Sao Francisco;2015;3;0.95
Tommy - produtor;Vale do Sao Francisco;2015;4;0.93
Tommy - produtor;Vale do Sao Francisco;2015;5;1.06
Tommy - produtor;Vale do Sao Francisco;2015;6;1.05
Tommy - produtor;Vale do Sao Francisco;2015;7;1.08
Tommy - produtor;Vale do Sao Francisco;2015;8;1.2
Tommy - produtor;Vale do Sao Francisco;2015;9;1.1
Tommy - produtor;Vale do Sao Francisco;2015;10;1.36
Tommy - produtor;Vale do Sao Francisco;2015;11;1.53
Tommy - produtor;Vale do Sao Francisco;2015;12;1.57
Tommy - produtor;Vale do Sao Francisco;2015;13;1.65
Tommy - produtor;Vale do Sao Francisco;2015;14;1.6
Tommy - produtor;Vale do Sao Francisco;2015;15;1.55
Tommy - produtor;Vale do Sao Francisco;2015;16;1.6
Tommy - produtor;Vale do Sao Francisco;2015;17;1.08
Tommy - produtor;Vale do Sao Francisco;2015;18;0.88
Tommy - produtor;Vale do Sao Francisco;2015;19;0.88
Tommy - produtor;Vale do Sao Francisco;2015;20;0.83
Tommy - produtor;Vale do Sao Francisco;2015;21;0.76
Tommy - produtor;Vale do Sao Francisco;2015;22;0.73
Tommy - produtor;Vale do Sao Francisco;2015;23;0.92
Tommy - produtor;Vale do Sao Francisco;2015;24;1.18
Tommy - produtor;Vale do Sao Francisco;2015;25;1.2
Tommy - produtor;Vale do Sao Francisco;2015;26;1.31
Tommy - produtor;Vale do Sao Francisco;2015;27;1.47
Tommy - produtor;Vale do Sao Francisco;2015;28;1.28
Tommy - produtor;Vale do Sao Francisco;2015;29;1.22
Tommy - produtor;Vale do Sao Francisco;2015;30;1.23
Tommy - produtor;Vale do Sao Francisco;2015;31;1.35
Tommy - produtor;Vale do Sao Francisco;2015;32;1.41
Tommy - produtor;Vale do Sao Francisco;2015;33;1.54
Tommy - produtor;Vale do Sao Francisco;2015;34;1.57
Tommy - produtor;Vale do Sao Francisco;2015;35;1.63
Tommy - produtor;Vale do Sao Francisco;2015;36;1.67
Tommy - produtor;Vale do Sao Francisco;2015;37;1.78
Tommy - produtor;Vale do Sao Francisco;2015;38;1.78
Tommy - produtor;Vale do Sao Francisco;2015;39;1
Tommy - produtor;Vale do Sao Francisco;2015;40;0.8
Tommy - produtor;Vale do Sao Francisco;2015;41;0.82
Tommy - produtor;Vale do Sao Francisco;2015;42;0.86
Tommy - produtor;Vale do Sao Francisco;2015;43;0.78
Tommy - produtor;Vale do Sao Francisco;2015;44;0.84
Tommy - produtor;Vale do Sao Francisco;2015;45;0.9
Tommy - produtor;Vale do Sao Francisco;2015;46;0.94
Tommy - produtor;Vale do Sao Francisco;2015;47;0.89
Tommy - produtor;Vale do Sao Francisco;2015;48;0.88
Tommy - produtor;Vale do Sao Francisco;2015;49;0.78
Tommy - produtor;Vale do Sao Francisco;2015;50;0.68
Tommy - produtor;Vale do Sao Francisco;2015;51;0.74
Tommy - produtor;Vale do Sao Francisco;2015;52;0.87
Tommy - produtor;Vale do Sao Francisco;2016;1;0.86
Tommy - produtor;Vale do Sao Francisco;2016;2;1.15
Tommy - produtor;Vale do Sao Francisco;2016;3;1.31
Tommy - produtor;Vale do Sao Francisco;2016;4;1.42
Tommy - produtor;Vale do Sao Francisco;2016;5;1.47
Tommy - produtor;Vale do Sao Francisco;2016;6;1.66
Tommy - produtor;Vale do Sao Francisco;2016;7;1.78
Tommy - produtor;Vale do Sao Francisco;2016;8;2
Tommy - produtor;Vale do Sao Francisco;2016;9;2.02
Tommy - produtor;Vale do Sao Francisco;2016;10;2.04
Tommy - produtor;Vale do Sao Francisco;2016;11;1.9
Tommy - produtor;Vale do Sao Francisco;2016;12;1.98
Tommy - produtor;Vale do Sao Francisco;2016;13;2
Tommy - produtor;Vale do Sao Francisco;2016;14;2.06
Tommy - produtor;Vale do Sao Francisco;2016;15;2.27
Tommy - produtor;Vale do Sao Francisco;2016;16;2.58
Tommy - produtor;Vale do Sao Francisco;2016;17;2.93
Tommy - produtor;Vale do Sao Francisco;2016;18;3.51
Tommy - produtor;Vale do Sao Francisco;2016;19;4.16
Tommy - produtor;Vale do Sao Francisco;2016;20;4.28
Tommy - produtor;Vale do Sao Francisco;2016;21;4.12
Tommy - produtor;Vale do Sao Francisco;2016;22;3.65
Tommy - produtor;Vale do Sao Francisco;2016;23;2.25
Tommy - produtor;Vale do Sao Francisco;2016;24;1.6
Tommy - produtor;Vale do Sao Francisco;2016;25;1.35
Tommy - produtor;Vale do Sao Francisco;2016;26;0.83
Tommy - produtor;Vale do Sao Francisco;2016;27;0.91
Tommy - produtor;Vale do Sao Francisco;2016;28;0.97
Tommy - produtor;Vale do Sao Francisco;2016;29;0.93
Tommy - produtor;Vale do Sao Francisco;2016;30;1.02
Tommy - produtor;Vale do Sao Francisco;2016;31;1.02
Tommy - produtor;Vale do Sao Francisco;2016;32;1.17
Tommy - produtor;Vale do Sao Francisco;2016;33;1.54
Tommy - produtor;Vale do Sao Francisco;2016;34;1.29
Tommy - produtor;Vale do Sao Francisco;2016;35;0.98
Tommy - produtor;Vale do Sao Francisco;2016;36;0.82
Tommy - produtor;Vale do Sao Francisco;2016;37;0.71
Tommy - produtor;Vale do Sao Francisco;2016;38;0.68
Tommy - produtor;Vale do Sao Francisco;2016;39;0.61
Tommy - produtor;Vale do Sao Francisco;2016;40;0.58
Tommy - produtor;Vale do Sao Francisco;2016;41;0.6
Tommy - produtor;Vale do Sao Francisco;2016;42;0.72
Tommy - produtor;Vale do Sao Francisco;2016;43;0.64
Tommy - produtor;Vale do Sao Francisco;2016;44;0.55
Tommy - produtor;Vale do Sao Francisco;2016;45;0.53
Tommy - produtor;Vale do Sao Francisco;2016;46;0.45
Tommy - produtor;Vale do Sao Francisco;2016;47;0.39
Tommy - produtor;Vale do Sao Francisco;2016;48;0.32
Tommy - produtor;Vale do Sao Francisco;2016;49;0.32
Tommy - produtor;Vale do Sao Francisco;2016;50;0.48
Tommy - produtor;Vale do Sao Francisco;2016;51;0.66
Tommy - produtor;Vale do Sao Francisco;2016;52;0.79
Tommy - produtor;Vale do Sao Francisco;2017;1;0.85
Tommy - produtor;Vale do Sao Francisco;2017;2;0.91
Tommy - produtor;Vale do Sao Francisco;2017;3;1.24
Tommy - produtor;Vale do Sao Francisco;2017;4;1.44
Tommy - produtor;Vale do Sao Francisco;2017;5;1.47
Tommy - produtor;Vale do Sao Francisco;2017;6;1.63
Tommy - produtor;Vale do Sao Francisco;2017;7;1.93
Tommy - produtor;Vale do Sao Francisco;2017;8;1.97
Tommy - produtor;Vale do Sao Francisco;2017;9;1.3
Tommy - produtor;Vale do Sao Francisco;2017;10;1.39
Tommy - produtor;Vale do Sao Francisco;2017;11;1.51
Tommy - produtor;Vale do Sao Francisco;2017;12;1.4
Tommy - produtor;Vale do Sao Francisco;2017;13;1.62
Tommy - produtor;Vale do Sao Francisco;2017;14;1.96
Tommy - produtor;Vale do Sao Francisco;2017;15;2.25
Tommy - produtor;Vale do Sao Francisco;2017;16;2.24
Tommy - produtor;Vale do Sao Francisco;2017;17;2.26
Tommy - produtor;Vale do Sao Francisco;2017;18;1.88
Tommy - produtor;Vale do Sao Francisco;2017;19;1.94
Tommy - produtor;Vale do Sao Francisco;2017;20;1.94
Tommy - produtor;Vale do Sao Francisco;2017;21;1.94
Tommy - produtor;Vale do Sao Francisco;2017;22;2
Tommy - produtor;Vale do Sao Francisco;2017;23;1.87
Tommy - produtor;Vale do Sao Francisco;2017;24;2.37
Tommy - produtor;Vale do Sao Francisco;2017;25;2.38
Tommy - produtor;Vale do Sao Francisco;2017;26;2.5
Tommy - produtor;Vale do Sao Francisco;2017;27;2.5
Tommy - produtor;Vale do Sao Francisco;2017;28;2.31
Tommy - produtor;Vale do Sao Francisco;2017;29;2.1
Tommy - produtor;Vale do Sao Francisco;2017;30;1.47
Tommy - produtor;Vale do Sao Francisco;2017;31;1.1
Tommy - produtor;Vale do Sao Francisco;2017;32;1.02
Tommy - produtor;Vale do Sao Francisco;2017;33;1.17
Tommy - produtor;Vale do Sao Francisco;2017;34;1.06
Tommy - produtor;Vale do Sao Francisco;2017;35;0.9
Tommy - produtor;Vale do Sao Francisco;2017;36;0.86
Tommy - produtor;Vale do Sao Francisco;2017;37;0.84
Tommy - produtor;Vale do Sao Francisco;2017;38;0.71
Tommy - produtor;Vale do Sao Francisco;2017;39;0.57
