ano;semana;igpdi
2012;01;466.9790
2012;02;466.9790
2012;03;466.9790
2012;04;466.9790
2012;05;466.9790
2012;06;467.3080
2012;07;467.3080
2012;08;467.3080
2012;09;467.3080
2012;10;469.9100
2012;11;469.9100
2012;12;469.9100
2012;13;469.9100
2012;14;469.9100
2012;15;474.6830
2012;16;474.6830
2012;17;474.6830
2012;18;474.6830
2012;19;479.0190
2012;20;479.0190
2012;21;479.0190
2012;22;479.0190
2012;23;482.3110
2012;24;482.3110
2012;25;482.3110
2012;26;482.3110
2012;27;482.3110
2012;28;489.6210
2012;29;489.6210
2012;30;489.6210
2012;31;489.6210
2012;32;495.9490
2012;33;495.9490
2012;34;495.9490
2012;35;495.9490
2012;36;495.9490
2012;37;500.3140
2012;38;500.3140
2012;39;500.3140
2012;40;500.3140
2012;41;498.7390
2012;42;498.7390
2012;43;498.7390
2012;44;498.7390
2012;45;499.9890
2012;46;499.9890
2012;47;499.9890
2012;48;499.9890
2012;49;503.2830
2012;50;503.2830
2012;51;503.2830
2012;52;503.2830
2013;01;504.8300
2013;02;504.8300
2013;03;504.8300
2013;04;504.8300
2013;05;505.8320
2013;06;505.8320
2013;07;505.8320
2013;08;505.8320
2013;09;507.3750
2013;10;507.3750
2013;11;507.3750
2013;12;507.3750
2013;13;507.3750
2013;14;507.0870
2013;15;507.0870
2013;16;507.0870
2013;17;507.0870
2013;18;508.7150
2013;19;508.7150
2013;20;508.7150
2013;21;508.7150
2013;22;508.7150
2013;23;512.6880
2013;24;512.6880
2013;25;512.6880
2013;26;512.6880
2013;27;513.3130
2013;28;513.3130
2013;29;513.3130
2013;30;513.3130
2013;31;515.6880
2013;32;515.6880
2013;33;515.6880
2013;34;515.6880
2013;35;515.6880
2013;36;522.6900
2013;37;522.6900
2013;38;522.6900
2013;39;522.6900
2013;40;525.9660
2013;41;525.9660
2013;42;525.9660
2013;43;525.9660
2013;44;525.9660
2013;45;527.4220
2013;46;527.4220
2013;47;527.4220
2013;48;527.4220
2013;49;531.0560
2013;50;531.0560
2013;51;531.0560
2013;52;531.0560
2014;01;533.1970
2014;02;533.1970
2014;03;533.1970
2014;04;533.1970
2014;05;533.1970
2014;06;537.7030
2014;07;537.7030
2014;08;537.7030
2014;09;537.7030
2014;10;545.6840
2014;11;545.6840
2014;12;545.6840
2014;13;545.6840
2014;14;548.1450
2014;15;548.1450
2014;16;548.1450
2014;17;548.1450
2014;18;545.6520
2014;19;545.6520
2014;20;545.6520
2014;21;545.6520
2014;22;545.6520
2014;23;542.1940
2014;24;542.1940
2014;25;542.1940
2014;26;542.1940
2014;27;539.2100
2014;28;539.2100
2014;29;539.2100
2014;30;539.2100
2014;31;539.5500
2014;32;539.5500
2014;33;539.5500
2014;34;539.5500
2014;35;539.5500
2014;36;539.6490
2014;37;539.6490
2014;38;539.6490
2014;39;539.6490
2014;40;542.8530
2014;41;542.8530
2014;42;542.8530
2014;43;542.8530
2014;44;542.8530
2014;45;549.0400
2014;46;549.0400
2014;47;549.0400
2014;48;549.0400
2014;49;551.1490
2014;50;551.1490
2014;51;551.1490
2014;52;551.1490
2015;01;554.8350
2015;02;554.8350
2015;03;554.8350
2015;04;554.8350
2015;05;554.8350
2015;06;557.8030
2015;07;557.8030
2015;08;557.8030
2015;09;557.8030
2015;10;564.5680
2015;11;564.5680
2015;12;564.5680
2015;13;564.5680
2015;14;569.7380
2015;15;569.7380
2015;16;569.7380
2015;17;569.7380
2015;18;569.7380
2015;19;572.0340
2015;20;572.0340
2015;21;572.0340
2015;22;572.0340
2015;23;575.9380
2015;24;575.9380
2015;25;575.9380
2015;26;575.9380
2015;27;579.2930
2015;28;579.2930
2015;29;579.2930
2015;30;579.2930
2015;31;579.2930
2015;32;581.6180
2015;33;581.6180
2015;34;581.6180
2015;35;581.6180
2015;36;589.8970
2015;37;589.8970
2015;38;589.8970
2015;39;589.8970
2015;40;600.2690
2015;41;600.2690
2015;42;600.2690
2015;43;600.2690
2015;44;600.2690
2015;45;607.4410
2015;46;607.4410
2015;47;607.4410
2015;48;607.4410
2015;49;610.1280
2015;50;610.1280
2015;51;610.1280
2015;52;610.1280
2016;01;619.4760
2016;02;619.4760
2016;03;619.4760
2016;04;619.4760
2016;05;619.4760
2016;06;624.3660
2016;07;624.3660
2016;08;624.3660
2016;09;624.3660
2016;10;627.0600
2016;11;627.0600
2016;12;627.0600
2016;13;627.0600
2016;14;627.0600
2016;15;629.3450
2016;16;629.3450
2016;17;629.3450
2016;18;629.3450
2016;19;636.4680
2016;20;636.4680
2016;21;636.4680
2016;22;636.4680
2016;23;646.8680
2016;24;646.8680
2016;25;646.8680
2016;26;646.8680
2016;27;646.8680
2016;28;644.3560
2016;29;644.3560
2016;30;644.3560
2016;31;644.3560
2016;32;647.1530
2016;33;647.1530
2016;34;647.1530
2016;35;647.1530
2016;36;647.3600
2016;37;647.3600
2016;38;647.3600
2016;39;647.3600
2016;40;647.3600
2016;41;648.2130
2016;42;648.2130
2016;43;648.2130
2016;44;648.2130
2016;45;648.5610
2016;46;648.5610
2016;47;648.5610
2016;48;648.5610
2016;49;653.9510
2016;50;653.9510
2016;51;653.9510
2016;52;653.9510
2017;01;656.7780
2017;02;656.7780
2017;03;656.7780
2017;04;656.7780
2017;05;656.7780
2017;06;657.1910
2017;07;657.1910
2017;08;657.1910
2017;09;657.1910
2017;10;654.7090
2017;11;654.7090
2017;12;654.7090
2017;13;654.7090
2017;14;654.7090
2017;15;646.5730
2017;16;646.5730
2017;17;646.5730
2017;18;646.5730
2017;19;643.2600
2017;20;643.2600
2017;21;643.2600
2017;22;643.2600
2017;23;637.0790
2017;24;637.0790
2017;25;637.0790
2017;26;637.0790
2017;27;637.0790
2017;28;635.1980
2017;29;635.1980
2017;30;635.1980
2017;31;635.1980
2017;32;636.7140
2017;33;636.7140
2017;34;636.7140
2017;35;636.7140
2017;36;636.7140
2017;37;640.6540
2017;38;640.6540
2017;39;640.6540
2017;40;640.6540
2017;41;641.2790
2017;42;641.2790
2017;43;641.2790
2017;44;641.2790
2017;45;646.4220
2017;46;646.4220
2017;47;646.4220
2017;48;646.4220
2017;49;651.2140
2017;50;651.2140
2017;51;651.2140
2017;52;651.2140
2018;01;654.9680
2018;02;654.9680
2018;03;654.9680
2018;04;654.9680
2018;05;655.9750
2018;06;655.9750
2018;07;655.9750
2018;08;655.9750
2018;09;659.6650
2018;10;659.6650
2018;11;659.6650
2018;12;659.6650
2018;13;659.6650
2018;14;665.7700
2018;15;665.7700
2018;16;665.7700
2018;17;665.7700
2018;18;676.6950
2018;19;676.6950
2018;20;676.6950
2018;21;676.6950
2018;22;686.6960
2018;23;686.6960
2018;24;686.6960
2018;25;686.6960
2018;26;686.6960
2018;27;689.7460
2018;28;689.7460
2018;29;689.7460
2018;30;689.7460
2018;31;694.4140
2018;32;694.4140
2018;33;694.4140
2018;34;694.4140
2018;35;694.4140
2018;36;706.8340
2018;37;706.8340
2018;38;706.8340
2018;39;706.8340
2018;40;708.6940
2018;41;708.6940
2018;42;708.6940
2018;43;708.6940
2018;44;700.6010
2018;45;700.6010
2018;46;700.6010
2018;47;700.6010
2018;48;700.6010
2018;49;697.4460
2018;50;697.4460
2018;51;697.4460
2018;52;697.4460
2019;01;697.9230
2019;02;697.9230
2019;03;697.9230
2019;04;697.9230
2019;05;697.9230
2019;06;706.6600
2019;07;706.6600
2019;08;706.6600
2019;09;706.6600
2019;10;714.2430
2019;11;714.2430
2019;12;714.2430
2019;13;714.2430
2019;14;720.6950
2019;15;720.6950
2019;16;720.6950
2019;17;720.6950
2019;18;723.5770
2019;19;723.5770
2019;20;723.5770
2019;21;723.5770
2019;22;723.5770
2019;23;728.1420
2019;24;728.1420
2019;25;728.1420
2019;26;728.1420
2019;27;728.0840
2019;28;728.0840
2019;29;728.0840
2019;30;728.0840
2019;31;724.3950
2019;32;724.3950
2019;33;724.3950
2019;34;724.3950
2019;35;724.3950
2019;36;728.0400
2019;37;728.0400
2019;38;728.0400
2019;39;728.0400
2019;40;732.0410
2019;41;732.0410
2019;42;732.0410
2019;43;732.0410
2019;44;732.0410
2019;45;738.2640
2019;46;738.2640
2019;47;738.2640
2019;48;738.2640
2019;49;751.1210
2019;50;751.1210
2019;51;751.1210
2019;52;751.1210
2020;01;751.8200
2020;02;751.8200
2020;03;751.8200
2020;04;751.8200
2020;05;751.8200
2020;06;751.9100
2020;07;751.9100
2020;08;751.9100
2020;09;751.9100
2020;10;764.2760
2020;11;764.2760
2020;12;764.2760
2020;13;764.2760
2020;14;764.6560
2020;15;764.6560
2020;16;764.6560
2020;17;764.6560
2020;18;764.6560
2020;19;772.8430
2020;20;772.8430
2020;21;772.8430
2020;22;772.8430
2020;23;785.2210
2020;24;785.2210
2020;25;785.2210
2020;26;785.2210
2020;27;803.5840
2020;28;803.5840
2020;29;803.5840
2020;30;803.5840
2020;31;803.5840
2020;32;834.7130
2020;33;834.7130
2020;34;834.7130
2020;35;834.7130
2020;36;862.2590
2020;37;862.2590
2020;38;862.2590
2020;39;862.2590
2020;40;893.9970
2020;41;893.9970
2020;42;893.9970
2020;43;893.9970
2020;44;893.9970
2020;45;917.5380
2020;46;917.5380
2020;47;917.5380
2020;48;917.5380
2020;49;924.5040
2020;50;924.5040
2020;51;924.5040
2020;52;924.5040
2021;01;951.3950
2021;02;951.3950
2021;03;951.3950
2021;04;951.3950
2021;05;977.1330
2021;06;977.1330
2021;07;977.1330
2021;08;977.1330
2021;09;998.3440
2021;10;998.3440
2021;11;998.3440
2021;12;998.3440
2021;13;998.3440
2021;14;1020.4950
2021;15;1020.4950
2021;16;1020.4950
2021;17;1020.4950
2021;18;1055.1670
2021;19;1055.1670
2021;20;1055.1670
2021;21;1055.1670
2021;22;1056.3430
2021;23;1056.3430
2021;24;1056.3430
2021;25;1056.3430
2021;26;1071.6150
2021;27;1071.6150
2021;28;1071.6150
2021;29;1071.6150
2021;30;1071.6150
2021;31;1070.1470
2021;32;1070.1470
2021;33;1070.1470
2021;34;1070.1470
2021;35;1064.3100
2021;36;1064.3100
2021;37;1064.3100
2021;38;1064.3100
2021;39;1064.3100
2021;40;1081.3010
2021;41;1081.3010
2021;42;1081.3010
2021;43;1081.3010
2021;44;1075.0220
2021;45;1075.0220
2021;46;1075.0220
2021;47;1075.0220
2021;48;1088.4890
2021;49;1088.4890
2021;50;1088.4890
2021;51;1088.4890
2021;52;1088.4890
2022;01;1110.3980
2022;02;1110.3980
2022;03;1110.3980
2022;04;1110.3980
2022;05;1127.0770
2022;06;1127.0770
2022;07;1127.0770
2022;08;1127.0770
2022;09;1153.7770
2022;10;1153.7770
2022;11;1153.7770
2022;12;1153.7770
2022;13;1153.7770
2022;14;1158.5410
2022;15;1158.5410
2022;16;1158.5410
2022;17;1158.5410
2022;18;1166.5420
2022;19;1166.5420
2022;20;1166.5420
2022;21;1166.5420
2022;22;1173.8310
2022;23;1173.8310
2022;24;1173.8310
2022;25;1173.8310
2022;26;1173.8310
2022;27;1169.4260
2022;28;1169.4260
2022;29;1169.4260
2022;30;1169.4260
2022;31;1162.9560
2022;32;1162.9560
2022;33;1162.9560
2022;34;1162.9560
2022;35;1148.8110
2022;36;1148.8110
2022;37;1148.8110
2022;38;1148.8110
2022;39;1141.7330
2022;40;1141.7330
2022;41;1141.7330
2022;42;1141.7330
2022;43;1141.7330
2022;44;1139.7340
2022;45;1139.7340
2022;46;1139.7340
2022;47;1139.7340
2022;48;1143.2250
2022;49;1143.2250
2022;50;1143.2250
2022;51;1143.2250
2022;52;1143.2250
2023;01;1143.8610
2023;02;1143.8610
2023;03;1143.8610
2023;04;1143.8610
2023;05;1144.2710
2023;06;1144.2710
2023;07;1144.2710
2023;08;1144.2710
2023;09;1153.7770
2023;10;1153.7770
2023;11;1153.7770
2023;12;1153.7770
2023;13;1153.7770
2023;14;1128.8050
2023;15;1128.8050
2023;16;1128.8050
2023;17;1128.8050
2023;18;1102.5060 
2023;19;1102.5060
2023;20;1102.5060
2023;21;1102.5060
2023;22;1086.4740
2023;23;1086.4740
2023;24;1086.4740
2023;25;1086.4740
2023;26;1086.4740
2023;27;1086.4740
2023;28;1086.4740
2023;29;1086.4740
2023;30;1086.4740
2023;31;1086.4740