Tabela 6318 - Pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações percentuais e absolutas em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ano anterior, por condição em relação à força de trabalho e condição de ocupação;;;;
Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas);;;;
Brasil;;;;
Trimestre Móvel;Condição em relação à força de trabalho e condição de ocupação;;;
;Total;Força de trabalho;Força de trabalho - ocupada;Força de trabalho - desocupada
jan-fev-mar 2012;153601;95664;88011;7653
fev-mar-abr 2012;153791;96380;88846;7534
mar-abr-mai 2012;153987;96823;89379;7444
abr-mai-jun 2012;154180;97010;89647;7363
mai-jun-jul 2012;154375;97076;89786;7290
jun-jul-ago 2012;154566;97247;90085;7162
jul-ago-set 2012;154758;97261;90320;6942
ago-set-out 2012;154949;97233;90467;6767
set-out-nov 2012;155138;97187;90555;6632
out-nov-dez 2012;155330;97322;90593;6730
nov-dez-jan 2013;155519;97359;90284;7075
dez-jan-fev 2013;155710;97488;89900;7588
jan-fev-mar 2013;155902;97554;89688;7866
fev-mar-abr 2013;156085;97847;90087;7760
mar-abr-mai 2013;156277;98065;90545;7520
abr-mai-jun 2013;156466;98242;90849;7393
mai-jun-jul 2013;156657;98363;91103;7260
jun-jul-ago 2013;156842;98311;91232;7079
jul-ago-set 2013;157023;98354;91438;6916
ago-set-out 2013;157204;98283;91606;6677
set-out-nov 2013;157384;98465;92000;6465
out-nov-dez 2013;157565;98321;92170;6151
nov-dez-jan 2014;157744;98233;91870;6363
dez-jan-fev 2014;157925;98416;91699;6717
jan-fev-mar 2014;158107;98597;91456;7141
fev-mar-abr 2014;158281;98832;91698;7134
mar-abr-mai 2014;158462;98864;91892;6972
abr-mai-jun 2014;158641;98979;92118;6861
mai-jun-jul 2014;158822;98970;92056;6914
jun-jul-ago 2014;158997;98966;92056;6910
jul-ago-set 2014;159168;99219;92407;6812
ago-set-out 2014;159339;99355;92692;6663
set-out-nov 2014;159508;99433;92878;6556
out-nov-dez 2014;159679;99516;92962;6555
nov-dez-jan 2015;159848;99616;92743;6873
dez-jan-fev 2015;160018;99818;92308;7510
jan-fev-mar 2015;160189;100007;91962;8045
fev-mar-abr 2015;160354;100327;92174;8153
mar-abr-mai 2015;160525;100438;92147;8290
abr-mai-jun 2015;160693;100746;92249;8498
mai-jun-jul 2015;160864;100992;92231;8762
jun-jul-ago 2015;161029;101126;92173;8953
jul-ago-set 2015;161192;101354;92201;9153
ago-set-out 2015;161355;101640;92386;9254
set-out-nov 2015;161516;101574;92287;9287
out-nov-dez 2015;161679;101588;92366;9222
nov-dez-jan 2016;161840;101575;91803;9772
dez-jan-fev 2016;162003;101844;91304;10541
jan-fev-mar 2016;162166;101990;90708;11281
fev-mar-abr 2016;162325;102127;90549;11578
mar-abr-mai 2016;162487;102287;90708;11578
abr-mai-jun 2016;162648;102389;90673;11716
mai-jun-jul 2016;162810;102304;90327;11977
jun-jul-ago 2016;162969;102239;90080;12159
jul-ago-set 2016;163128;101978;89821;12156
ago-set-out 2016;163287;102068;89884;12184
set-out-nov 2016;163444;102427;90149;12279
out-nov-dez 2016;163603;102650;90174;12476
nov-dez-jan 2017;163760;102775;89746;13029
dez-jan-fev 2017;163919;102906;89240;13666
jan-fev-mar 2017;164077;103151;88846;14305
fev-mar-abr 2017;164230;103332;89160;14172
mar-abr-mai 2017;164389;103515;89623;13892
abr-mai-jun 2017;164545;103791;90193;13598
mai-jun-jul 2017;164703;104012;90585;13428
jun-jul-ago 2017;164856;104213;91001;13212
jul-ago-set 2017;165007;104336;91268;13068
ago-set-out 2017;165158;104456;91602;12854
set-out-nov 2017;165308;104733;92025;12707
out-nov-dez 2017;165459;104682;92228;12453
nov-dez-jan 2018;165608;104707;91857;12850
dez-jan-fev 2018;165758;104602;91312;13291
jan-fev-mar 2018;165909;104751;90879;13872
fev-mar-abr 2018;166055;104653;91049;13603
mar-abr-mai 2018;166205;104594;91177;13417
abr-mai-jun 2018;166354;104610;91462;13148
mai-jun-jul 2018;166503;104967;91905;13062
jun-jul-ago 2018;166651;105283;92369;12915
jul-ago-set 2018;166801;105624;92930;12694
ago-set-out 2018;166950;105878;93319;12559
set-out-nov 2018;167097;106031;93615;12416
out-nov-dez 2018;167246;105947;93534;12413
nov-dez-jan 2019;167393;105941;93051;12889
dez-jan-fev 2019;167542;105940;92643;13296
jan-fev-mar 2019;167690;106273;92621;13651
fev-mar-abr 2019;167834;106674;93219;13456
mar-abr-mai 2019;167982;107027;93761;13266
abr-mai-jun 2019;168128;107170;94159;13011
mai-jun-jul 2019;168276;107207;94395;12812
jun-jul-ago 2019;168421;107332;94509;12823
jul-ago-set 2019;168565;107535;94737;12798
ago-set-out 2019;168710;107699;95042;12657
set-out-nov 2019;168853;107550;95410;12140
out-nov-dez 2019;168997;107418;95515;11903
nov-dez-jan 2020;169139;107307;95123;12184
dez-jan-fev 2020;169283;107283;94675;12609
jan-fev-mar 2020;169427;106263;93115;13148
fev-mar-abr 2020;169568;103296;90136;13160
mar-abr-mai 2020;169711;99800;86714;13087
abr-mai-jun 2020;169852;97279;84051;13228
mai-jun-jul 2020;169995;96314;82725;13588
jun-jul-ago 2020;170134;96908;82590;14319
jul-ago-set 2020;170270;98037;83439;14598
ago-set-out 2020;170407;99842;85284;14558
set-out-nov 2020;170542;101087;86573;14514
out-nov-dez 2020;170678;101637;87225;14412
nov-dez-jan 2021;170813;101958;87214;14744
dez-jan-fev 2021;170949;102217;87285;14932
jan-fev-mar 2021;171084;102339;87082;15257
fev-mar-abr 2021;171217;102665;87475;15189
mar-abr-mai 2021;171352;103376;88151;15225
abr-mai-jun 2021;171485;104216;89384;14832
mai-jun-jul 2021;171620;105073;90666;14407
jun-jul-ago 2021;171753;105599;91725;13874
jul-ago-set 2021;171886;106430;92976;13453
ago-set-out 2021;172019;106864;93958;12906
set-out-nov 2021;172151;107334;94930;12405
out-nov-dez 2021;172283;107758;95747;12011
nov-dez-jan 2022;172414;107476;95428;12048
dez-jan-fev 2022;172546;107249;95234;12016
jan-fev-mar 2022;172678;107224;95275;11949
fev-mar-abr 2022;172807;107861;96512;11349
mar-abr-mai 2022;172938;108147;97516;10631
abr-mai-jun 2022;173068;108349;98269;10080
mai-jun-jul 2022;173198;108548;98666;9882
jun-jul-ago 2022;173328;108706;99013;9694
jul-ago-set 2022;173457;108729;99269;9460
ago-set-out 2022;173587;108684;99661;9022
set-out-nov 2022;173715;108434;99693;8741
out-nov-dez 2022;173844;107942;99370;8572
nov-dez-jan 2023;173972;107631;98636;8995
dez-jan-fev 2023;174100;107346;98122;9224
jan-fev-mar 2023;174228;107257;97825;9432
fev-mar-abr 2023;174353;107127;98031;9095
mar-abr-mai 2023;174481;107345;98400;8945
abr-mai-jun 2023;174607;107557;98910;8647
mai-jun-jul 2023;174734;107865;99344;8520
jun-jul-ago 2023;174859;108065;99654;8411
jul-ago-set 2023;174983;108154;99838;8316
ago-set-out 2023;175107;108465;100206;8259
set-out-nov 2023;175229;108710;100508;8202
out-nov-dez 2023;175352;109066;100985;8082
nov-dez-jan 2024;175474;108885;100593;8292
dez-jan-fev 2024;175597;108784;100250;8535
jan-fev-mar 2024;175719;108826;100203;8623
fev-mar-abr 2024;175839;109018;100804;8213
mar-abr-mai 2024;175961;109114;101331;7783
abr-mai-jun 2024;176081;109372;101830;7541
mai-jun-jul 2024;176202;109461;102031;7431
jun-jul-ago 2024;176323;109797;102517;7281
jul-ago-set 2024;176446;110030;103029;7001
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua mensal;;;;