semanas;Proyecci贸n de Embarques en Cajas 2024;Proyecci贸n de Embarques en Cajas 2025;Proyecci贸n de Embarques en Contenedores 2024;Proyecci贸n de Embarques en Contenedores 2025
31;28560;50400;5;9
32;218400;367705;39;66
33;442400;842893;79;151
34;627200;1255854;112;224
35;834400;1255854;149;224
36;901600;1323738;161;236
37;1024800;1176656;183;210
38;1008000;1199284;180;214
39;980000;978661;175;175
40;1058400;871178;189;156
41;890400;593985;159;106
42;806400;526101;144;94
43;660800;362048;118;65
44;291200;322449;52;58
45;274400;243251;49;43
46;218400;135768;39;24
47;224000;169710;40;30
48;117600;135768;21;24
49;95200;0;17;0